Date,level
2024-03-25,157.7389767599128
2024-03-26,149.395336826591
2024-03-27,152.99138116821882
2024-03-28,151.57713994266717
2024-04-01,147.02297998875412
2024-04-02,137.7827477658632
2024-04-03,138.23549933350913
2024-04-04,139.55796723398507
2024-04-05,134.92601902314897
2024-04-08,130.2705873908419
2024-04-09,132.6971847855925
2024-04-10,127.14987274751732
2024-04-11,123.19626013714502
2024-04-12,117.28219688051338
2024-04-15,112.55660816993782
2024-04-16,120.25565045297685
2024-04-17,116.60317722670688
2024-04-18,116.03725451917273
2024-04-19,109.9092563155312
2024-04-22,109.58054394249612
2024-04-23,114.33029691783226
2024-04-24,112.62534096550712
2024-04-25,111.6375159611443
2024-04-26,114.45921401091657
2024-04-29,116.14909151086069
2024-04-30,110.30104891972232
2024-05-01,113.13117992661772
2024-05-02,113.59818774750386
2024-05-03,113.39299656064068
2024-05-06,115.14639680850603
2024-05-07,112.23260890318032
2024-05-08,108.93984816478581
2024-05-09,108.77116678176905
2024-05-10,104.43884253914169
2024-05-13,109.15385012141803
2024-05-14,112.4824057574273
2024-05-15,107.93650312358345
2024-05-16,105.78148815301947
2024-05-17,106.92974772978742
2024-05-20,104.48529703709846
2024-05-21,101.09794176757067
2024-05-22,100.52791343405885
2024-05-23,97.79654424633178
2024-05-24,99.499851260445
2024-05-28,103.17451126508526
2024-05-29,103.80962016765412
2024-05-30,102.66723977432954
